url_path,views_total,views_unique
/morganstanley/api,77,39
/morganstanley/api/tree/main/client-samples,71,33
/morganstanley/api/tree/main/client-samples/python/rest,56,20
/morganstanley/api/tree/main/client-samples/python,45,19
/morganstanley/api/tree/main,28,16
/morganstanley/api/blob/main/client-samples/python/rest/README.md,21,11
/morganstanley/api/tree/main/client-samples/java/rest,17,9
/morganstanley/api/blob/main/client-samples/python/rest/client_application.py,17,6
/morganstanley/api/pulls,16,6
/morganstanley/api/tree/main/client-samples/java,14,9
