referrer,views_total,views_unique
statics.teams.cdn.office.net,145,10
Google,59,7
github.com,36,4
jfrog.lightning.force.com,16,1
jive.ms.com,10,1
Bing,4,1
developer-uat.morganstanley.com,2,1
