referrer,views_total,views_unique
Google,210,49
github.com,64,18
statics.teams.cdn.office.net,29,8
Bing,20,7
testplan.readthedocs.io,15,5
linkedin.com,10,5
opensource.morganstanley.com,9,2
Baidu,9,1
DuckDuckGo,5,3
jiraied.ms.com,4,2
