referrer,views_total,views_unique
Google,156,34
statics.teams.cdn.office.net,32,5
Bing,31,4
testplan.readthedocs.io,15,9
github.com,15,8
ntp.msn.com,3,1
morganstanley.com,2,2
cmex-pro.jp.larksuite.com,2,1
jive.ms.com,1,1
devdocs.ms.com,1,1
