referrer,views_total,views_unique
github.com,141,15
jiraeai.ms.com,42,3
statics.teams.cdn.office.net,19,4
Google,7,7
opensource.morganstanley.com,3,1
jive.ms.com,2,2
Bing,2,1
finos.org,1,1
fdc3.finos.org,1,1
naiveui.com,1,1
