referrer,views_total,views_unique
github.com,284,18
statics.teams.cdn.office.net,70,12
Google,52,15
fdc3.finos.org,11,1
jive.ms.com,8,5
Bing,5,2
jiraeai.ms.com,4,2
finos.org,3,2
opensource.morganstanley.com,2,1
morganstanley.com,1,1
