time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,8,5,19,2
2026-04-12 00:00:00+00:00,30,9,0,0
2026-04-13 00:00:00+00:00,19,10,13,5
2026-04-14 00:00:00+00:00,28,10,17,6
2026-04-15 00:00:00+00:00,57,13,7,4
2026-04-16 00:00:00+00:00,93,26,13,7
2026-04-17 00:00:00+00:00,65,29,35,5
2026-04-18 00:00:00+00:00,8,6,0,0
2026-04-19 00:00:00+00:00,134,39,4,4
2026-04-20 00:00:00+00:00,577,24,23,7
2026-04-21 00:00:00+00:00,216,64,54,12
2026-04-22 00:00:00+00:00,168,50,13,5
2026-04-23 00:00:00+00:00,610,103,5,3
2026-04-24 00:00:00+00:00,122,44,2,2
