referrer,views_total,views_unique
Google,195,36
github.com,35,12
statics.teams.cdn.office.net,12,5
linkedin.com,6,1
opensource.morganstanley.com,2,2
wiki.citadelgroup.com,2,1
morganstanley.com,1,1
chasethedevil.github.io,1,1
news.ycombinator.com,1,1
