referrer,views_total,views_unique
Google,184,13
github.com,100,12
statics.teams.cdn.office.net,17,3
news.ycombinator.com,9,8
hobbes.readthedocs.io,9,2
DuckDuckGo,9,2
opensource.morganstanley.com,6,2
fedhub-01-prod.ms.com,3,1
drlinkcheck.com,2,1
morganstanley.com,1,1
