referrer,views_total,views_unique
github.com,64,25
Google,25,9
teams.public.onecdn.static.microsoft,16,5
news.ycombinator.com,13,8
git.tudor.com,6,1
Bing,4,1
rosettacode.org,2,2
yandex.ru,2,2
hn.algolia.com,1,1
morganstanley.github.io,1,1
