referrer,views_total,views_unique
news.ycombinator.com,784,721
github.com,27,20
Google,23,7
hckrnews.com,10,9
statics.teams.cdn.office.net,9,2
hobbes.readthedocs.io,4,4
kagi.com,3,3
lambda-the-ultimate.org,3,3
Bing,1,1
DuckDuckGo,1,1
