time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-25 00:00:00+00:00,171,70,286,52
2025-02-26 00:00:00+00:00,217,66,147,39
2025-02-27 00:00:00+00:00,195,88,131,29
2025-02-28 00:00:00+00:00,209,90,106,33
2025-03-01 00:00:00+00:00,72,39,80,11
2025-03-02 00:00:00+00:00,55,26,26,15
2025-03-03 00:00:00+00:00,127,59,93,27
2025-03-04 00:00:00+00:00,183,78,186,31
2025-03-05 00:00:00+00:00,178,87,179,44
2025-03-06 00:00:00+00:00,157,78,63,31
2025-03-07 00:00:00+00:00,168,86,110,34
2025-03-08 00:00:00+00:00,98,56,16,10
2025-03-09 00:00:00+00:00,48,28,29,14
2025-03-10 00:00:00+00:00,137,73,94,35
2025-03-11 00:00:00+00:00,140,70,88,41
2025-03-12 00:00:00+00:00,170,68,95,27
2025-03-13 00:00:00+00:00,183,95,67,26
2025-03-14 00:00:00+00:00,112,47,71,24
2025-03-15 00:00:00+00:00,51,28,19,12
2025-03-16 00:00:00+00:00,41,25,24,10
2025-03-17 00:00:00+00:00,157,75,221,42
2025-03-18 00:00:00+00:00,161,76,111,35
2025-03-19 00:00:00+00:00,182,76,128,38
2025-03-20 00:00:00+00:00,191,86,112,35
2025-03-21 00:00:00+00:00,158,63,37,18
2025-03-22 00:00:00+00:00,58,31,9,5
2025-03-23 00:00:00+00:00,39,19,14,5
2025-03-24 00:00:00+00:00,207,66,103,33
2025-03-25 00:00:00+00:00,159,69,73,29
2025-03-26 00:00:00+00:00,171,71,88,29
2025-03-27 00:00:00+00:00,234,84,121,28
2025-03-28 00:00:00+00:00,212,50,39,19
2025-03-29 00:00:00+00:00,90,33,7,6
2025-03-30 00:00:00+00:00,34,20,42,8
2025-03-31 00:00:00+00:00,110,57,79,28
2025-04-01 00:00:00+00:00,274,118,59,30
2025-04-02 00:00:00+00:00,188,83,149,34
2025-04-03 00:00:00+00:00,195,74,99,29
2025-04-04 00:00:00+00:00,135,65,93,26
2025-04-05 00:00:00+00:00,69,39,25,9
2025-04-06 00:00:00+00:00,154,28,19,9
2025-04-07 00:00:00+00:00,149,82,119,42
2025-04-08 00:00:00+00:00,248,102,146,40
2025-04-09 00:00:00+00:00,205,88,128,37
2025-04-10 00:00:00+00:00,227,97,191,43
2025-04-11 00:00:00+00:00,155,91,79,28
2025-04-12 00:00:00+00:00,63,26,28,9
2025-04-13 00:00:00+00:00,64,24,19,12
2025-04-14 00:00:00+00:00,99,53,77,32
2025-04-15 00:00:00+00:00,182,75,107,40
2025-04-16 00:00:00+00:00,262,94,172,43
2025-04-17 00:00:00+00:00,158,74,180,24
2025-04-18 00:00:00+00:00,183,83,23,16
2025-04-19 00:00:00+00:00,55,28,16,11
2025-04-20 00:00:00+00:00,52,22,17,8
2025-04-21 00:00:00+00:00,148,66,121,30
2025-04-22 00:00:00+00:00,201,102,148,45
2025-04-23 00:00:00+00:00,201,91,110,52
2025-04-24 00:00:00+00:00,192,92,163,33
2025-04-25 00:00:00+00:00,217,80,102,34
2025-04-26 00:00:00+00:00,79,28,21,10
2025-04-27 00:00:00+00:00,77,28,37,12
2025-04-28 00:00:00+00:00,137,60,98,42
2025-04-29 00:00:00+00:00,168,75,76,29
2025-04-30 00:00:00+00:00,198,87,96,25
2025-05-01 00:00:00+00:00,180,70,61,15
2025-05-02 00:00:00+00:00,164,79,35,16
2025-05-03 00:00:00+00:00,141,70,42,13
2025-05-04 00:00:00+00:00,82,35,46,12
2025-05-05 00:00:00+00:00,235,104,42,22
2025-05-06 00:00:00+00:00,211,80,61,33
2025-05-07 00:00:00+00:00,225,92,38,21
2025-05-08 00:00:00+00:00,203,86,98,20
2025-05-09 00:00:00+00:00,141,66,69,29
2025-05-10 00:00:00+00:00,78,42,10,8
2025-05-11 00:00:00+00:00,49,22,14,9
2025-05-12 00:00:00+00:00,222,101,80,35
2025-05-13 00:00:00+00:00,276,124,103,32
2025-05-14 00:00:00+00:00,189,79,98,28
2025-05-15 00:00:00+00:00,246,93,59,22
2025-05-16 00:00:00+00:00,244,93,73,28
2025-05-17 00:00:00+00:00,104,52,15,8
2025-05-18 00:00:00+00:00,107,26,13,6
2025-05-19 00:00:00+00:00,172,79,80,36
2025-05-20 00:00:00+00:00,163,69,100,20
2025-05-21 00:00:00+00:00,191,78,94,40
2025-05-22 00:00:00+00:00,242,125,97,32
2025-05-23 00:00:00+00:00,183,88,116,23
2025-05-24 00:00:00+00:00,84,42,19,7
2025-05-25 00:00:00+00:00,101,24,13,8
2025-05-26 00:00:00+00:00,117,57,80,24
2025-05-27 00:00:00+00:00,176,62,88,37
2025-05-28 00:00:00+00:00,195,75,65,22
2025-05-29 00:00:00+00:00,154,66,107,23
2025-05-30 00:00:00+00:00,146,59,70,25
2025-05-31 00:00:00+00:00,68,33,12,6
2025-06-01 00:00:00+00:00,87,22,19,6
2025-06-02 00:00:00+00:00,261,111,85,30
2025-06-03 00:00:00+00:00,234,70,95,28
2025-06-04 00:00:00+00:00,235,81,87,30
2025-06-05 00:00:00+00:00,214,72,62,23
2025-06-06 00:00:00+00:00,152,63,54,19
2025-06-07 00:00:00+00:00,99,46,6,5
2025-06-08 00:00:00+00:00,122,32,36,10
2025-06-09 00:00:00+00:00,184,75,158,33
2025-06-10 00:00:00+00:00,227,102,81,32
2025-06-11 00:00:00+00:00,244,101,125,39
2025-06-12 00:00:00+00:00,248,87,203,35
2025-06-13 00:00:00+00:00,224,81,65,21
2025-06-14 00:00:00+00:00,112,62,13,4
2025-06-15 00:00:00+00:00,146,61,41,15
2025-06-16 00:00:00+00:00,186,68,122,48
2025-06-17 00:00:00+00:00,373,159,137,34
2025-06-18 00:00:00+00:00,205,85,115,33
2025-06-19 00:00:00+00:00,161,77,33,24
2025-06-20 00:00:00+00:00,159,64,44,19
2025-06-21 00:00:00+00:00,151,110,34,10
2025-06-22 00:00:00+00:00,138,64,21,12
2025-06-23 00:00:00+00:00,229,142,92,32
2025-06-24 00:00:00+00:00,159,89,147,29
2025-06-25 00:00:00+00:00,222,112,87,27
2025-06-26 00:00:00+00:00,208,95,114,22
2025-06-27 00:00:00+00:00,189,70,65,19
2025-06-28 00:00:00+00:00,78,38,10,6
2025-06-29 00:00:00+00:00,93,30,34,12
2025-06-30 00:00:00+00:00,163,66,58,24
2025-07-01 00:00:00+00:00,191,76,49,20
2025-07-02 00:00:00+00:00,239,100,60,17
2025-07-03 00:00:00+00:00,221,78,61,23
2025-07-04 00:00:00+00:00,140,58,89,24
2025-07-05 00:00:00+00:00,79,54,19,5
2025-07-06 00:00:00+00:00,163,89,30,11
2025-07-07 00:00:00+00:00,207,85,72,20
2025-07-08 00:00:00+00:00,254,81,107,29
2025-07-09 00:00:00+00:00,271,81,94,27
2025-07-10 00:00:00+00:00,200,75,44,17
2025-07-11 00:00:00+00:00,199,72,119,27
2025-07-12 00:00:00+00:00,91,55,18,9
2025-07-13 00:00:00+00:00,167,94,24,7
2025-07-14 00:00:00+00:00,210,87,97,23
2025-07-15 00:00:00+00:00,220,66,41,20
2025-07-16 00:00:00+00:00,237,84,147,24
2025-07-17 00:00:00+00:00,168,87,116,24
2025-07-18 00:00:00+00:00,124,69,36,14
2025-07-19 00:00:00+00:00,90,54,3,3
2025-07-20 00:00:00+00:00,107,37,4,3
2025-07-21 00:00:00+00:00,185,90,73,23
2025-07-22 00:00:00+00:00,208,87,89,26
2025-07-23 00:00:00+00:00,273,162,147,20
2025-07-24 00:00:00+00:00,143,43,82,27
2025-07-25 00:00:00+00:00,109,52,34,18
2025-07-26 00:00:00+00:00,60,29,11,5
2025-07-27 00:00:00+00:00,73,25,27,6
2025-07-28 00:00:00+00:00,138,67,45,22
2025-07-29 00:00:00+00:00,127,88,85,24
2025-07-30 00:00:00+00:00,141,70,63,19
2025-07-31 00:00:00+00:00,172,85,61,25
2025-08-01 00:00:00+00:00,130,53,73,15
2025-08-02 00:00:00+00:00,45,24,19,8
2025-08-03 00:00:00+00:00,101,51,10,3
2025-08-04 00:00:00+00:00,203,133,56,22
2025-08-05 00:00:00+00:00,175,72,76,22
2025-08-06 00:00:00+00:00,126,53,100,24
2025-08-07 00:00:00+00:00,146,67,57,21
2025-08-08 00:00:00+00:00,130,61,40,20
2025-08-09 00:00:00+00:00,53,34,38,16
2025-08-10 00:00:00+00:00,66,22,75,14
2025-08-11 00:00:00+00:00,140,60,46,23
2025-08-12 00:00:00+00:00,162,66,34,14
2025-08-13 00:00:00+00:00,208,93,93,17
2025-08-14 00:00:00+00:00,43,28,61,15
2025-08-15 00:00:00+00:00,106,50,35,15
2025-08-16 00:00:00+00:00,53,29,12,9
2025-08-17 00:00:00+00:00,87,24,30,6
2025-08-18 00:00:00+00:00,158,57,52,22
2025-08-19 00:00:00+00:00,124,54,30,16
2025-08-20 00:00:00+00:00,200,85,50,20
2025-08-21 00:00:00+00:00,155,94,66,20
2025-08-22 00:00:00+00:00,142,72,72,25
2025-08-23 00:00:00+00:00,68,40,22,11
2025-08-24 00:00:00+00:00,86,22,22,8
2025-08-25 00:00:00+00:00,143,68,69,24
2025-08-26 00:00:00+00:00,126,65,101,23
2025-08-27 00:00:00+00:00,138,57,67,28
2025-08-28 00:00:00+00:00,133,58,76,18
2025-08-29 00:00:00+00:00,97,57,46,20
2025-08-30 00:00:00+00:00,55,34,48,9
2025-08-31 00:00:00+00:00,100,28,22,12
2025-09-01 00:00:00+00:00,120,60,61,21
2025-09-02 00:00:00+00:00,151,60,55,20
2025-09-03 00:00:00+00:00,146,79,76,20
2025-09-04 00:00:00+00:00,144,75,60,23
2025-09-05 00:00:00+00:00,108,62,131,19
2025-09-06 00:00:00+00:00,66,31,33,9
2025-09-07 00:00:00+00:00,98,31,23,8
2025-09-08 00:00:00+00:00,150,72,59,27
2025-09-09 00:00:00+00:00,154,62,57,21
2025-09-10 00:00:00+00:00,123,70,77,27
2025-09-11 00:00:00+00:00,122,72,40,23
2025-09-12 00:00:00+00:00,109,51,80,23
