time_iso8601,stars_cumulative
2023-11-17 00:00:00+00:00,1
2023-11-22 00:00:00+00:00,2
2023-11-23 00:00:00+00:00,4
2023-11-24 00:00:00+00:00,6
2023-12-04 00:00:00+00:00,7
2023-12-13 00:00:00+00:00,8
2024-02-07 00:00:00+00:00,9
2024-07-18 00:00:00+00:00,10
2024-08-06 00:00:00+00:00,11
2024-09-02 00:00:00+00:00,12
