time_iso8601,forks_cumulative
2025-02-20 00:00:00+00:00,1
2025-02-21 00:00:00+00:00,2
2025-03-01 00:00:00+00:00,3
2025-03-07 00:00:00+00:00,4
2025-06-25 00:00:00+00:00,5
