referrer,views_total,views_unique
Google,418,108
github.com,46,21
Bing,39,8
DuckDuckGo,21,4
chatgpt.com,21,3
ya.ru,18,1
app.ninehire.com,11,2
yandex.ru,8,3
statics.teams.cdn.office.net,8,3
vcpkg.link,8,1
