referrer,views_total,views_unique
Google,303,111
github.com,125,39
confluent.io,36,10
Bing,29,12
DuckDuckGo,18,5
cn.bing.com,13,6
conan.io,12,2
yandex.ru,5,4
vcpkg.io,3,3
git.woa.com,3,2
