referrer,views_total,views_unique
Google,322,96
github.com,47,23
Bing,47,6
yandex.ru,20,6
confluent.io,18,5
search.brave.com,7,3
DuckDuckGo,6,3
morganstanley.com,4,3
ya.ru,4,1
link.csdn.net,3,2
