referrer,views_total,views_unique
Google,72,42
opensource.morganstanley.com,28,9
github.com,20,10
youtube.com,12,2
DuckDuckGo,6,1
cn.bing.com,4,2
werideai.feishu.cn,1,1
morganstanley.com,1,1
confluence.ext.net.nokia.com,1,1
Bing,1,1
