referrer,views_total,views_unique
Google,55,33
github.com,38,21
morganstanley.github.io,12,1
Bing,5,3
search.brave.com,3,3
chatgpt.com,2,1
DuckDuckGo,1,1
accounts.youtube.com,1,1
