time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,258,16,15,10
2025-10-27 00:00:00+00:00,292,24,33,23
2025-10-28 00:00:00+00:00,759,28,40,11
2025-10-29 00:00:00+00:00,416,27,27,8
2025-10-30 00:00:00+00:00,383,25,11,10
2025-10-31 00:00:00+00:00,421,25,52,8
2025-11-01 00:00:00+00:00,331,20,6,5
2025-11-02 00:00:00+00:00,119,16,4,4
2025-11-03 00:00:00+00:00,253,26,35,12
2025-11-04 00:00:00+00:00,133,28,33,17
2025-11-05 00:00:00+00:00,266,34,25,10
2025-11-06 00:00:00+00:00,508,28,20,13
2025-11-07 00:00:00+00:00,378,27,43,12
2025-11-08 00:00:00+00:00,245,18,50,5
