time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,175,23,8,7
2026-04-12 00:00:00+00:00,48,17,7,6
2026-04-13 00:00:00+00:00,281,30,20,9
2026-04-14 00:00:00+00:00,287,21,7,6
2026-04-15 00:00:00+00:00,131,31,26,9
2026-04-16 00:00:00+00:00,362,24,26,8
2026-04-17 00:00:00+00:00,199,24,8,6
2026-04-18 00:00:00+00:00,59,17,6,5
2026-04-19 00:00:00+00:00,79,14,6,4
2026-04-20 00:00:00+00:00,163,18,9,6
2026-04-21 00:00:00+00:00,250,27,9,6
2026-04-22 00:00:00+00:00,245,27,13,8
2026-04-23 00:00:00+00:00,323,31,29,7
2026-04-24 00:00:00+00:00,266,28,13,8
